,Datetime,Tweet Id,Tweet_url,Text,Username,Reply_count,Retweet_count,Tweet_lang,Source,Like_count
39,2020-03-30 23:12:16+00:00,1244764408535973889,https://twitter.com/JessesLaw/status/1244764408535973889,Joyful sounds from Canada.,JessesLaw,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0
40,2020-03-30 23:10:05+00:00,1244763858339676160,https://twitter.com/MareeEdwards4/status/1244763858339676160,@normanswan I know someone who has symptoms and is very sick but hasn’t travelled. She picked her daughter up from the airport who was returning from Canada. She has been living with them. They won’t test her as the daughter has no symptoms. There were 6 confirmed on the flight.,MareeEdwards4,1,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1
41,2020-03-30 23:09:22+00:00,1244763679205117952,https://twitter.com/DrMarthaGulati/status/1244763679205117952,"@GutGirlMD @DrChristineMann @DrMStiegler @NYGovCuomo @_NancyMD @DrJRMarcelin @dremilym @DrCorriel @ETSshow @EMARIANOMD @HarrietHopfMD @RUBraveEnough @choo_ek @Docbasia @mbeharrymd @bharzuaga @mdtetra @meganranney @ayshaslam999 @DCharabaty @VaNiPaLeTi @gutdoc18 1 from Canada 🇨🇦 originally but now Phoenix 
2. NYC you amaze me! You are the strongest, most generous souls showing us how to sacrifice for the greater good. Again. Love to you 
3. @iamritu @onco_cardiology @purviparwani @SamRRazaMD @a_l_bailey",DrMarthaGulati,4,1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",15
42,2020-03-30 23:08:52+00:00,1244763554525384706,https://twitter.com/MGJohnson24/status/1244763554525384706,@joedrape NYC always imports its best things from Canada.,MGJohnson24,1,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1
43,2020-03-30 23:07:12+00:00,1244763136072323074,https://twitter.com/adayandforever/status/1244763136072323074,"@angelic_elaina @Orbitron11 @TwinklingTania Every since she went on that rant about Cory Booker voting against the importation of pharmaceuticals from Canada bill 3 years ago, I've had the hots for her.",adayandforever,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
44,2020-03-30 23:07:09+00:00,1244763120737927168,https://twitter.com/chrissyyonce/status/1244763120737927168,oh so no one was gonna tell me tory lanez is from canada? 🥱,chrissyyonce,1,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1
45,2020-03-30 23:05:25+00:00,1244762684840706051,https://twitter.com/SportsGurl87/status/1244762684840706051,@leafsweetie Lol I love it.  I’m actually waiting for something from Canada post that said it was on the truck today 🤔,SportsGurl87,1,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
46,2020-03-30 23:05:03+00:00,1244762594809909252,https://twitter.com/NatalieLouiseM5/status/1244762594809909252,"@realDonaldTrump The ExRoyals were definitely expecting US to pay. They ran away from Canada before their security in CA got cut, in the hopes of pressuring Pres. Trump into footing the bill. Trump is right to address this issue now! Investigate the fraudulent foundation next! MM loves Hilary!👀",NatalieLouiseM5,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0
47,2020-03-30 23:04:35+00:00,1244762476467695618,https://twitter.com/EnronChairman/status/1244762476467695618,"(Bloomberg) Oil from Canada touched a record low of $3.82, while many other key grades are trading below $10 a barrel, with some as low as $3 https://t.co/BYfvyGJXCm",EnronChairman,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2
48,2020-03-30 23:03:56+00:00,1244762310964645891,https://twitter.com/Kofowor0la/status/1244762310964645891,Someone sent me money from Canada do quarantine and I really really appreciated that gesture 🥺🥺,Kofowor0la,1,1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1
49,2020-03-30 23:03:11+00:00,1244762121948233735,https://twitter.com/BarryHatchard/status/1244762121948233735,"@maxberger Hello and good luck from Canada 
Please overcome your differences, join together and find a way 
to unite and prioritize common sense, morality, and inclusiveness over greed.
All rich people are not bad welcome anyone bearing good intentions.
Long live the working class.",BarryHatchard,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0
